userId,countryCode,installedAt,osVersion,device,limitAdTracking,adjustId,adGroupName,trackerName,channel,campaign,creative,os_name,installedDate,countryName
e2d63348Lce62a8024ac89653ae4ce11d721a,es,2024-01-01 16:43:59+00:00,9,redminote8,False,GRXL72868186481877,adGroupName 7,trackerName 7,channel 2,campaign 5,creative 5,android,2024-01-01,Spain
b6213348Lf67fa1504199ac6968267493874e,es,2024-01-01 21:57:04+00:00,9,galaxys8,False,GKCF16655804558808,adGroupName 6,trackerName 6,channel 2,campaign 5,creative 5,android,2024-01-01,Spain
4fdc3348L2faf4e284eb9adb5be1b07a6986d,us,2024-01-01 21:33:33+00:00,9,legacy,True,MCCX57851778477919,adGroupName 5,trackerName 5,channel 2,campaign 4,creative 4,android,2024-01-01,United States
4b253348L425fcba2462695f699e27870a6b5,us,2024-01-01 16:18:22+00:00,9,journeylte,False,RCHZ07124631299886,adGroupName 5,trackerName 5,channel 2,campaign 4,creative 4,android,2024-01-01,United States
d8923348L4d9b4e674e469b1cb7faa12869f4,us,2024-01-01 18:04:17+00:00,9,galaxys8active,False,VQZE64662082917175,adGroupName 4,trackerName 4,channel 1,campaign 2,creative 3,android,2024-01-01,United States
e2743348L699571fa4fd9b4f7e8b3c5720df0,de,2024-01-01 03:29:45+00:00,9,y5(2019),False,GAZL00570149805783,adGroupName 3,trackerName 3,channel 1,campaign 3,creative 2,android,2024-01-01,Germany
06c53348Lb7f6262c4261a5b7340f301f4a92,au,2024-01-01 01:22:50+00:00,9,galaxytaba(2017),False,QLVO96314900235206,adGroupName 2,trackerName 2,channel 1,campaign 2,creative 1,android,2024-01-01,Australia
9f3b3348Lfc6d6a144388ae0c4768b54c79ca,us,2024-01-01 01:11:23+00:00,9,galaxys8,False,MUJU91991664314739,adGroupName 12,trackerName 12,channel 4,campaign 7,creative 8,android,2024-01-01,United States
73e93348L2c3dab404254965052161473085e,us,2024-01-01 12:01:16+00:00,10,galaxys9plus,False,CZAX74339463878136,adGroupName 11,trackerName 11,channel 3,campaign 6,creative 7,android,2024-01-01,United States
29e43348L9e635dfb4d79b8fe4488d2decad5,us,2024-01-01 04:59:22+00:00,10,galaxynote9,False,FVWI48935781386681,adGroupName 58,trackerName 61,channel 10,campaign 23,creative 39,android,2024-01-01,United States
